"","LanguageLong","total","Percentage"
"1","English",1394852504,64.6149414913902
"2","Spanish; Castilian",268832559,12.4533597788671
"3","Portuguese",95017465,4.40157502246934
"4","Bahasa",69043189,3.19834649528936
"5","French",65878465,3.05174428788034
"6","Other",53129355,2.46115639822538
"7","German",33011532,1.52922133530554
"8","Thai",28758876,1.33222192652575
"9","Japanese",27725514,1.28435261777952
"10","Italian",22245388,1.03049206991514
"11","Turkish",18413665,0.852991899290492
"12","Hindi",18068572,0.837005862100077
"13","Dutch; Flemish",12227777,0.56643773672056
"14","Tagalog",11133287,0.515736743525862
"15","Catalan; Valencian",7347948,0.340385258470151
"16","Polish",3868222,0.179190944912774
"17","Arabic",2697580,0.124962297711403
"18","Russian",2469092,0.11437785332811
"19","Tamil",2464708,0.114174769559263
"20","Chinese",2249525,0.104206664031927
"21","Greek, Modern (1453-)",1851717,0.0857786649631397
"22","Korean",1834046,0.0849600761676793
"23","Estonian",1602863,0.0742507890022142
"24","Swedish",1303134,0.0603661870513022
"25","Czech",1090807,0.0505303824463714
"26","Romanian; Moldavian; Moldovan",1040211,0.0481865808111998
"27","Urdu",954097,0.0441974485870879
"28","Marathi",899195,0.0416541764435551
"29","Haitian; Haitian Creole",835330,0.0386957036111131
"30","Danish",807864,0.0374233726815609
"31","Finnish",801526,0.0371297721051573
"32","Slovenian",525935,0.0243633353030668
"33","Lithuanian",504009,0.0233476385157165
"34","Ukrainian",460780,0.0213451047010507
"35","Telugu",460324,0.0213239810243641
"36","Latvian",407309,0.0188681219902779
"37","Gujarati",405329,0.0187764007625595
"38","Persian",348699,0.0161530810021088
"39","Kannada",326477,0.0151236723544532
"40","Norwegian",318338,0.0147466425199077
"41","Bengali",311335,0.0144222365816694
"42","Vietnamese",304444,0.014103018914898
"43","Welsh",278795,0.0129148584251257
"44","Basque",263067,0.0121862768748455
"45","Malayalam",217820,0.0100902615260707
"46","Nepali",201788,0.00934759752466605
"47","Oriya",190264,0.00881376144980406
"48","Hungarian",166873,0.0077302002187127
"49","Burmese",122332,0.00566688950972033
"50","Panjabi; Punjabi",93717,0.00434133247378005
"51","Serbian",75015,0.00347498378651269
"52","Icelandic",74758,0.00346307855645026
"53","Sinhala; Sinhalese",71525,0.00331331354169593
"54","Bulgarian",65475,0.00303305423477863
"55","Amharic",16297,0.000754939822286175
"56","Divehi; Dhivehi; Maldivian",13910,0.000644364786647891
"57","Pushto; Pashto",10690,0.000495201981974548
"58","Armenian",6250,0.000289524077393912
"59","Central Khmer",5404,0.000250334098277872
"60","Georgian",4142,0.000191873396570494
"61","Sindhi",4015,0.000185990267317849
"62","Lao",3234,0.000149811338606706
"63","Tibetan",509,2.35788408629602e-05
"64","Uighur; Uyghur",236,1.09324291623941e-05
