"","V4","total"
"1","@realDonaldTrump",14106218
"2","@realdonaldtrump",7159966
"3","@mippcivzla",4217090
"4","@joebiden",3464768
"5","@narendramodi",3085638
"6","@JoeBiden",1901092
"7","@potus",1350010
"8","@nicolasmaduro",904206
"9","@DrRPNishank",872180
"10","@vtvcanal8",804438
"11","@drericding",795096
"12","@kkmputrajaya",780980
"13","@aoc",697412
"14","@drdavidsamadi",680041
"15","@CNN",679706
"16","@kamalaharris",604068
"17","@LicypriyaK",579101
"18","@ProjectLincoln",535328
"19","@WHO",517395
"20","@pmoindia",479020
"21","@kylegriffin1",462198
"22","@rahulgandhi",422124
"23","@RealJamesWoods",355196
"24","@realcandaceo",347321
"25","@NYGovCuomo",321033
"26","@Swamy39",319706
"27","@charliekirk11",308279
"28","@BarackObama",273669
"29","@btstwt",272326
"30","@jackposobiec",267645
"31","@DrTedros",266338
"32","@flotus",259076
"33","@BernieSanders",234491
"34","@faheemyounus",234224
"35","@elonmusk",230583
"36","@OHmes2",227711
"37","@ConflitsFR",224356
"38","@occupydemocrats",218513
"39","@unicef",208177
"40","@drrpnishank",207663
"41","@KamalaHarris",207473
"42","@Ibraofficial",207316
"43","@nytimes",204905
"44","@rexchapman",193994
"45","@tarak9999",191674
"46","@rwmalonemd",180816
"47","@dghisham",176500
"48","@zornitsaxx",166814
"49","@RealCandaceO",164374
"50","@AOC",163899
"51","@spectatorindex",163827
"52","@lopezobrador",159329
"53","@BrynnTannehill",154632
"54","@skaijackson",152123
"55","@ohmes2",151758
"56","@PMOIndia",149552
"57","@sheriantoinette",148799
"58","@donaldjtrumpjr",147443
"59","@BTStwt",144579
"60","@angelicaxval",144571
"61","@gregabbotttx",143210
"62","@MikelJollett",143077
"63","@funder",142855
"64","@RahulGandhi",142265
"65","@stfunell",134474
"66","@donwinslow",134408
"67","@ASlavitt",131967
"68","@tedlieu",131829
"69","@biondiewasabi",130084
"70","@cdcgov",128456
"71","@projectlincoln",127103
"72","@AISAtweets",126978
"73","@ossoff",125079
"74","@rbreich",124718
"75","@KKMPutrajaya",124210
"76","@yzngangel",121432
"77","@unicefchief",121252
"78","@stevenzequ",115899
"79","@wewantMor",114172
"80","@KILLBILLEVOL1",113243
"81","@Fayemous",112354
"82","@theogdc",111126
"83","@ani",110586
"84","@demetriachavon",108476
"85","@repkatieporter",107733
"86","@mxwxzz",107030
"87","@mediavenir",106905
"88","@bgluckman",105157
"89","@lindseygrahamsc",104396
"90","@danamoralesss",104297
"91","@rekszn",103570
"92","@wendizzle",103011
"93","@theepex",100835
"94","@realjameswoods",99943
"95","@BT21",99262
"96","@riotwaltz",98842
"97","@clownlito",98827
"98","@usfda",98477
"99","@miriamh13",96246
"100","@repjayapal",95344
"101","@505eunice",94156
"102","@rudygiuliani",93908
"103","@jimjordan",93496
"104","@khunneung137",92718
"105","@jocehfk",91342
"106","@ZackBornstein",90997
"107","@eugenegu",90932
"108","@bighitent",90380
"109","@curtisisbooger",90000
"110","@Abdulmir19",89834
"111","@theprincedylan",89725
"112","@RJXXIV",89499
"113","@CamealAshley",89004
"114","@migizikwe",88989
"115","@nickwiger",88927
"116","@brian2grimey",88097
"117","@HeavenSentMel",87053
"118","@SrBachchan",86853
"119","@MatthewACherry",86599
"120","@allareblessed",86382
"121","@JackPosobiec",86043
"122","@intothebrush",85848
"123","@moonriver365",85717
"124","@washikirei",85241
"125","@buhrooke",83531
"126","@alsoto7",82605
"127","@sugaplumami",82555
"128","@yagirlkat",82238
"129","@naomusiker",80809
"130","@emaperidol",80555
"131","@KyleKulinski",80390
"132","@llinwood",80278
"133","@Tgiferb",80271
"134","@BrianduNord",80022
"135","@SandeepSaurav",79285
"136","@offchainon",79245
"137","@drsimonegold",78923
"138","@alfredodelmazo",78772
"139","@cnn",78260
"140","@maddow",77894
"141","@mhdksafa",77882
"142","@danpriceseattle",77831
"143","@itsdryx",77638
"144","@erictile",76850
"145","@choloabel",76668
"146","@jrnalll",76585
"147","@jodidoering",76477
"148","@jenniferjjacobs",76472
"149","@DatMichCray",75982
"150","@khetithegreat",75908
"151","@ilneroback",75859
"152","@CoachJustice10",75769
"153","@goldoveries",75664
"154","@hlgatell",74986
"155","@mrgoya01",74980
"156","@cxrpxe",74751
"157","@valeriatapia",74439
"158","@marinarasawce",74292
"159","@fvrnandaa",74281
"160","@JudahTheSimp",74141
"161","@alanaauston",73817
"162","@matthancock",72734
"163","@officialplt",72343
"164","@f8th",72293
"165","@lexilulu",71668
"166","@saysthefox",71460
"167","@jennidigital",70537
"168","@whitehouse",70366
"169","@bassbarbie182",70150
"170","@berniesanders",69204
"171","@KanganaTeam",69070
"172","@BorisJohnson",69044
"173","@DanRather",68297
"174","@siwuol",67330
"175","@paulsperry",67269
"176","@kingdeficit",67178
"177","@zachnm",66891
"178","@ishathepoet",66814
"179","@MK813",66328
"180","@kiranxx",66067
"181","@oscaardiaz",65958
"182","@ellorysmith",65693
"183","@chancsmith",65229
"184","@vp",64930
"185","@forensictoxguy",64927
"186","@Loeybug",64753
"187","@mitsurutenma",64497
"188","@jemelehill",64321
"189","@bcraigv",63819
"190","@pompomcoffee",63609
"191","@manopsi",63504
"192","@eyekon131",63249
"193","@danhaelle",63199
"194","@birdexecutive",63086
"195","@dcmadness202",63011
"196","@nyshuffler",62918
"197","@DaniOliver",62577
"198","@emresus",62369
"199","@JJMaples55MST",62326
"200","@PlainJanie",61957
"201","@DGHisham",61892
"202","@edmcupid",61757
"203","@stellaimmanuel",61735
"204","@borisjohnson",61498
"205","@kynjoy",61484
"206","@radseed",61457
"207","@mmpadellan",61184
"208","@danaoneika",61075
"209","@volinxx",60986
"210","@nicolecoyle5",60693
"211","@diayannna",60577
"212","@mkstalin",60532
"213","@Ixyaaa",59754
"214","@Toniob38",59561
"215","@BladeHalll",59272
"216","@KBSeauxluxe",59064
"217","@blendben",58776
"218","@thegallowboob",58535
"219","@yoyotrav",58174
"220","@adoraIbe",58080
"221","@sebgorka",58053
"222","@PiyushGoyal",58001
"223","@60minutes",57823
"224","@rofnl",57360
"225","@helloalegria",57319
"226","@omithewaffler",57242
"227","@bestofmarshall",57193
"228","@marcorubio",57187
"229","@justwinnie",56960
"230","@coastaleddylb",56786
"231","@WITCHTRlALS",56775
"232","@govrondesantis",56513
"233","@mas1z1",56497
"234","@btstwts",56468
"235","@beyabean",56393
"236","@btsbighit",56185
"237","@EMRESUS",55961
"238","@AlexEdelman",55875
"239","@ifpiorg",55623
"240","@incandescent",55283
"241","@itsma",55275
"242","@IAMJADEJACKSON",55203
"243","@peytnhaag",55088
"244","@joeltkl",54838
"245","@UN",54780
"246","@HypNADic",54743
"247","@halldrunkface",54685
"248","@benoobrown",54599
"249","@bluebluwhale",54385
"250","@tevonblair",54187
"251","@RexChapman",54167
"252","@thinkpositiveal",54139
"253","@duttypaul",54056
"254","@ProjectJosiee",54055
"255","@TheRealHazz",53495
"256","@mintitapreview",53475
"257","@adazzlinhaze",53378
"258","@jideukie",53109
"259","@jordanklepper",53108
"260","@ampizzzle",52398
"261","@slothanova",52397
"262","@KatlynMarie06",52259
"263","@Heavenlyxoxo",52056
"264","@addien90",52033
"265","@lylaconni",52026
"266","@thebklynvillain",51758
"267","@wizkidayo",51688
"268","@TuckerCarlson",51520
"269","@firstgentleman",51433
"270","@liamdunne",51071
"271","@dougmar",51025
"272","@atrupar",50935
"273","@GEMINI",50930
"274","@randpaul",50928
"275","@th0tcouture",50867
"276","@lincnotfound",50748
"277","@notjoss",50115
"278","@quincyhicks",50053
"279","@iamelmars",49940
"280","@nickteeev",49748
"281","@Sphiamia",49652
"282","@ray14man",49590
"283","@nampunllsprite",49320
"284","@briantylercohen",49311
