"","Year","Month","Day","Text","Count"
"1",2020,1,29,"china",359290
"2",2020,1,29,"wuhan",119805
"3",2020,1,29,"us",45592
"4",2020,1,29,"australia",22723
"5",2020,1,29,"hong kong",13826
"6",2020,2,29,"china",242483
"7",2020,2,29,"us",172415
"8",2020,2,29,"corona",63641
"9",2020,2,29,"washington",59039
"10",2020,2,29,"iran",54732
"11",2020,4,30,"china",84687
"12",2020,4,30,"us",75665
"13",2020,4,30,"america",32604
"14",2020,4,30,"uk",32545
"15",2020,4,30,"india",19800
"16",2020,7,17,"us",123396
"17",2020,7,17,"florida",92948
"18",2020,7,17,"portland",46916
"19",2020,7,17,"china",42859
"20",2020,7,17,"india",42717
"21",2020,7,31,"us",86387
"22",2020,7,31,"china",59226
"23",2020,7,31,"hong kong",42158
"24",2020,7,31,"india",37730
"25",2020,7,31,"uk",26628
"26",2020,8,7,"us",60251
"27",2020,8,7,"china",28518
"28",2020,8,7,"india",25967
"29",2020,8,7,"america",23883
"30",2020,8,7,"ohio",21053
"31",2020,8,28,"india",143982
"32",2020,8,28,"us",77964
"33",2020,8,28,"white house",75957
"34",2020,8,28,"china",53285
"35",2020,8,28,"america",38779
"36",2020,8,29,"india",87239
"37",2020,8,29,"us",43030
"38",2020,8,29,"america",41679
"39",2020,8,29,"uk",39324
"40",2020,8,29,"berlin",31005
"41",2020,8,30,"india",111278
"42",2020,8,30,"vegas",101584
"43",2020,8,30,"us",52224
"44",2020,8,30,"las vegas",50807
"45",2020,8,30,"america",37668
"46",2020,8,31,"vegas",95968
"47",2020,8,31,"india",66305
"48",2020,8,31,"us",59981
"49",2020,8,31,"las vegas",48043
"50",2020,8,31,"america",43143
"51",2020,9,1,"us",65092
"52",2020,9,1,"india",54069
"53",2020,9,1,"america",32685
"54",2020,9,1,"china",31846
"55",2020,9,1,"london",31140
"56",2020,9,2,"us",81185
"57",2020,9,2,"india",61553
"58",2020,9,2,"america",30411
"59",2020,9,2,"china",26270
"60",2020,9,2,"corona",18757
"61",2020,9,3,"new york",67924
"62",2020,9,3,"us",55172
"63",2020,9,3,"china",54323
"64",2020,9,3,"india",50826
"65",2020,9,3,"america",31999
"66",2020,9,4,"america",53193
"67",2020,9,4,"us",52506
"68",2020,9,4,"china",44090
"69",2020,9,4,"india",38978
"70",2020,9,4,"uk",22515
"71",2020,9,5,"us",56350
"72",2020,9,5,"india",47612
"73",2020,9,5,"america",34534
"74",2020,9,5,"china",28457
"75",2020,9,5,"new york",19192
"76",2020,9,6,"india",71147
"77",2020,9,6,"us",35833
"78",2020,9,6,"uk",30013
"79",2020,9,6,"china",28898
"80",2020,9,6,"brazil",22736
"81",2020,9,7,"china",59231
"82",2020,9,7,"india",57161
"83",2020,9,7,"us",50492
"84",2020,9,7,"uk",34457
"85",2020,9,7,"america",25295
"86",2020,9,8,"america",88000
"87",2020,9,8,"china",60818
"88",2020,9,8,"india",59926
"89",2020,9,8,"us",58199
"90",2020,9,8,"uk",32410
"91",2020,9,9,"us",80032
"92",2020,9,9,"covid",67083
"93",2020,9,9,"china",51638
"94",2020,9,9,"india",40022
"95",2020,9,9,"america",37360
"96",2020,9,10,"china",91932
