"","Year","Month","Day","Text","Count"
"1",2020,1,29,"british airways",14527
"2",2020,1,29,"cdc",12044
"3",2020,1,29,"huawei",6192
"4",2020,1,29,"super junior",4573
"5",2020,1,29,"senate",4303
"6",2020,2,29,"cdc",85263
"7",2020,2,29,"trump",21850
"8",2020,2,29,"cnn",10748
"9",2020,2,29,"fox news",10374
"10",2020,2,29,"bts",9398
"11",2020,4,30,"nhs",9500
"12",2020,4,30,"cdc",8326
"13",2020,4,30,"trump",8145
"14",2020,4,30,"mask america",6120
"15",2020,4,30,"rbi",4841
"16",2020,7,17,"cdc",261349
"17",2020,7,17,"trump administration",37945
"18",2020,7,17,"trump",23295
"19",2020,7,17,"covid",16382
"20",2020,7,17,"congress",10660
"21",2020,7,31,"cdc",33136
"22",2020,7,31,"trump",23705
"23",2020,7,31,"covid",20899
"24",2020,7,31,"federalist society",19695
"25",2020,7,31,"senate",14062
"26",2020,8,7,"cdc",19386
"27",2020,8,7,"china virus",16527
"28",2020,8,7,"radical left democrats",16494
"29",2020,8,7,"trump",9165
"30",2020,8,7,"chinavirus",7957
"31",2020,8,28,"rnc",70441
"32",2020,8,28,"cdc",30258
"33",2020,8,28,"trump",29970
"34",2020,8,28,"covid",17089
"35",2020,8,28,"fda",13855
"36",2020,8,29,"cdc",35592
"37",2020,8,29,"cms",22399
"38",2020,8,29,"fda",18691
"39",2020,8,29,"rnc",16313
"40",2020,8,29,"trump",11633
"41",2020,8,30,"cdc",184338
"42",2020,8,30,"federal government",13809
"43",2020,8,30,"covid",12623
"44",2020,8,30,"fda",12391
"45",2020,8,30,"supreme court",12355
"46",2020,8,31,"cdc",222230
"47",2020,8,31,"trump",14444
"48",2020,8,31,"fda",14182
"49",2020,8,31,"covid",13700
"50",2020,8,31,"msm",11268
"51",2020,9,1,"cdc",134269
"52",2020,9,1,"trump",18091
"53",2020,9,1,"ssc",10782
"54",2020,9,1,"education &amp; training",9588
"55",2020,9,1,"house",9062
"56",2020,9,2,"cdc",84599
"57",2020,9,2,"trump",14659
"58",2020,9,2,"covid",12362
"59",2020,9,2,"house",8377
"60",2020,9,2,"fda",7914
"61",2020,9,3,"cdc",71019
"62",2020,9,3,"covid",61452
"63",2020,9,3,"fda",22522
"64",2020,9,3,"instagram",15691
"65",2020,9,3,"nyc",13746
"66",2020,9,4,"covid",119473
