"","Year","Month","Day","Text","Count"
"1",2020,2,12,"pauletta",7520
"2",2020,2,12,"pablolpez",1797
"3",2020,2,12,"tevoyacureosear",1221
"4",2020,2,12,"carlosloret",904
"5",2020,2,12,"morena",895
"6",2020,2,28,"leonor",2428
"7",2020,2,28,"amlo",2290
"8",2020,2,28,"vicks",1888
"9",2020,2,28,"kaylenzarate1",1504
"10",2020,2,28,"lopezobrador",1347
"11",2020,2,29,"eileenornot",2236
"12",2020,2,29,"rené",1630
"13",2020,2,29,"manuragaini",1595
"14",2020,2,29,"lopezobrador",1446
"15",2020,2,29,"cirogomezl",884
"16",2020,4,22,"alfredodelmazo",8677
"17",2020,4,22,"malbran",6050
"18",2020,4,22,"bill gates",4102
"19",2020,4,22,"pablo casado",3948
"20",2020,4,22,"casado",3523
"21",2020,5,11,"alfredodelmazo",6015
"22",2020,5,11,"idiazayuso",4576
"23",2020,5,11,"ayuso",4547
"24",2020,5,11,"covid",3831
"25",2020,5,11,"torrente",2671
"26",2020,5,14,"serranoismael",10388
"27",2020,5,14,"alfredodelmazo",3949
"28",2020,5,14,"covid",3578
"29",2020,5,14,"yoshio",3145
"30",2020,5,14,"nicolasmaduro",2965
"31",2020,5,27,"covid",4441
"32",2020,5,27,"lopezobrador",3733
"33",2020,5,27,"nicolasmaduro",3498
"34",2020,5,27,"iglesias",2309
"35",2020,5,27,"maduro",2210
"36",2020,6,1,"irene montero",33370
"37",2020,6,1,"trump",6998
"38",2020,6,1,"covid",6500
"39",2020,6,1,"albiol",3423
"40",2020,6,1,"irenemontero",3389
"41",2020,6,9,"josé julián buelvas",9002
"42",2020,6,9,"covid",6679
"43",2020,6,9,"fernando simón",4602
"44",2020,6,9,"uliisesgonzalez",3842
"45",2020,6,9,"lopezobrador",3400
"46",2020,6,17,"vidal",14507
"47",2020,6,17,"covid",11341
"48",2020,6,17,"maría eugenia vidal",8151
"49",2020,6,17,"mariuvidal",5999
"50",2020,6,17,"lopezobrador",5845
"51",2020,7,17,"fernanmarmol",13320
"52",2020,7,17,"aaleessaandraaa",11087
"53",2020,7,17,"covid",10820
"54",2020,7,17,"sergioramos",3992
"55",2020,7,17,"debbymmorales",3451
"56",2020,7,31,"covid",12867
"57",2020,7,31,"nicolasmaduro",9458
"58",2020,7,31,"steven calabresi",4359
"59",2020,7,31,"lopezobrador",3454
"60",2020,7,31,"axel kicillof",2738
"61",2020,8,18,"dr_calleja",14540
"62",2020,8,18,"covid",11740
"63",2020,8,18,"nicolasmaduro",9127
"64",2020,8,18,"mjuarezgzz",4244
"65",2020,8,18,"enfrmrasaturada",3438
"66",2020,8,28,"covid",9647
"67",2020,8,28,"maribelskies",6091
"68",2020,8,28,"soyalbertosamid",5381
"69",2020,8,28,"goldfarb",5366
"70",2020,8,28,"baby etchecopar",4329
"71",2020,8,29,"covid",11219
"72",2020,8,29,"nataliahdzgn",10673
"73",2020,8,29,"nicolasmaduro",6594
"74",2020,8,29,"bachi",5211
"75",2020,8,29,"carlosloret",3632
"76",2020,8,30,"covid",8048
"77",2020,8,30,"nicolasmaduro",7243
"78",2020,8,30,"piñera",5446
"79",2020,8,30,"yunaaisy",4969
"80",2020,8,30,"mippcivzla",3690
"81",2020,9,1,"covid",15504
"82",2020,9,1,"guido",12887
"83",2020,9,1,"pedro cavadas",11106
"84",2020,9,1,"juanitagroisman",10166
"85",2020,9,1,"guido kaczka",5412
"86",2020,9,2,"covid",5972
"87",2020,9,2,"guido",2410
"88",2020,9,2,"guido kaczka",2383
"89",2020,9,2,"ayuso",2084
"90",2020,9,2,"diego86maradona",1515
"91",2020,9,5,"covid",10814
"92",2020,9,5,"nicolasmaduro",3651
"93",2020,9,5,"dcabellor",3376
"94",2020,9,5,"mippcivzla",2732
"95",2020,9,5,"alexagomez2000",2473
"96",2020,9,6,"covid",687
"97",2020,9,6,"joselito",627
"98",2020,9,6,"joseantoniokast",350
"99",2020,9,6,"nicolasmaduro",322
"100",2020,9,6,"dcabellor",311
"101",2020,9,7,"covid",2872
"102",2020,9,7,"nicolasmaduro",1799
"103",2020,9,7,"pablocano",1645
"104",2020,9,7,"chauoperetak",1276
"105",2020,9,7,"jiménez héctor federico",1014
"106",2020,9,9,"covid",723
"107",2020,9,9,"enriquekrauze",371
"108",2020,9,9,"nicolasmaduro",314
"109",2020,9,9,"flavio fridegotto",264
"110",2020,9,9,"presidente",249
"111",2020,9,10,"nicolasmaduro",8468
"112",2020,9,10,"covid",6490
"113",2020,9,10,"trump",5049
"114",2020,9,10,"mippcivzla",3545
"115",2020,9,10,"cirogomezl",1886
"116",2020,9,11,"nicolasmaduro",12990
"117",2020,9,11,"covid",9793
"118",2020,9,11,"mippcivzla",2822
"119",2020,9,11,"trump",2554
"120",2020,9,11,"maduro",2486
"121",2020,9,13,"covid",13873
"122",2020,9,13,"nicolasmaduro",11804
"123",2020,9,13,"agusdiazdsa",7462
"124",2020,9,13,"macri",5278
"125",2020,9,13,"alberto",5244
"126",2020,9,14,"nicolasmaduro",12739
"127",2020,9,14,"covid",11603
"128",2020,9,14,"macri",4441
"129",2020,9,14,"sánchez",4257
"130",2020,9,14,"evajuradodiaz",4103
"131",2020,9,15,"covid",13151
"132",2020,9,15,"evajuradodiaz",10837
"133",2020,9,15,"marcovillalba5",4471
"134",2020,9,15,"nicolasmaduro",4429
"135",2020,9,15,"santobarbera42",4326
"136",2020,9,16,"manuelbartual",17313
"137",2020,9,16,"covid",16877
"138",2020,9,16,"sánchez",8215
"139",2020,9,16,"santobarbera42",7238
"140",2020,9,16,"santi",6103
"141",2020,9,17,"covid",13990
"142",2020,9,17,"nicolasmaduro",6586
"143",2020,9,17,"mariaanillo7",5085
"144",2020,9,17,"ayuso",4842
"145",2020,9,17,"manupalmer",4317
"146",2020,9,18,"ayuso",9494
"147",2020,9,18,"covid",8666
"148",2020,9,18,"nicolasmaduro",7671
"149",2020,9,18,"fgmiiriiam",7093
"150",2020,9,18,"ivanjode",4907
"151",2020,9,19,"covid",8245
"152",2020,9,19,"zoeludmi",7032
"153",2020,9,19,"ayuso",5106
"154",2020,9,19,"nicolasmaduro",4628
"155",2020,9,19,"wadskieroriana",4010
"156",2020,9,20,"nicolasmaduro",12494
"157",2020,9,20,"frandiaz04",8440
"158",2020,9,20,"covid",8329
"159",2020,9,20,"wadskieroriana",4340
"160",2020,9,20,"ayuso",3652
"161",2020,9,21,"nicolasmaduro",13646
"162",2020,9,21,"ayuso",9290
"163",2020,9,21,"covid",8345
"164",2020,9,21,"manuelfurio",5992
"165",2020,9,21,"sánchez",4548
"166",2020,9,22,"covid",8768
"167",2020,9,22,"presidente de guinea",5579
"168",2020,9,22,"trump",5110
"169",2020,9,22,"ayuso",4907
"170",2020,9,22,"torra",4010
"171",2020,9,23,"brivillarok",6675
"172",2020,9,23,"covid",6268
"173",2020,9,23,"trump",4657
"174",2020,9,23,"nicolasmaduro",4066
"175",2020,9,23,"lautarogeneyro",2847
"176",2020,9,24,"nicolasmaduro",8670
"177",2020,9,24,"covid",8241
"178",2020,9,24,"zlatan",6401
"179",2020,9,24,"ariza",4076
"180",2020,9,24,"malena",4076
"181",2020,9,25,"covid",9997
"182",2020,9,25,"nicolasmaduro",4667
"183",2020,9,25,"lulaanconetani",4271
"184",2020,9,25,"ayuso",3553
"185",2020,9,25,"rey",3224
"186",2020,9,26,"covid",11413
"187",2020,9,26,"patobullrich",7980
"188",2020,9,26,"emilio bouza",5301
"189",2020,9,26,"damarisfany",5253
"190",2020,9,26,"ayuso",4283
"191",2020,9,27,"covid",13510
"192",2020,9,27,"covid19",7915
"193",2020,9,27,"nicolasmaduro",7243
"194",2020,9,27,"alicia_gadi",5638
"195",2020,9,27,"santi",4376
"196",2020,9,28,"nicolasmaduro",10527
"197",2020,9,28,"covid",10318
"198",2020,9,28,"idiazayuso",8284
"199",2020,9,28,"ayuso",5164
"200",2020,9,28,"mippcivzla",4080
"201",2020,9,29,"covid",10724
"202",2020,9,29,"nicolasmaduro",10143
"203",2020,9,29,"alejandrosanz",6105
"204",2020,9,29,"jesus",4500
"205",2020,9,29,"ayuso",3689
"206",2020,9,30,"trump",12101
"207",2020,9,30,"biden",9486
"208",2020,9,30,"covid",8264
"209",2020,9,30,"nicolasmaduro",7944
"210",2020,9,30,"ayuso",4290
"211",2020,10,1,"covid",7780
"212",2020,10,1,"ayuso",5230
"213",2020,10,1,"rubensancheztw",2225
"214",2020,10,1,"simón",2220
"215",2020,10,1,"amlo",2183
"216",2020,10,3,"trump",29726
"217",2020,10,3,"covid",7515
"218",2020,10,3,"donald trump",7205
"219",2020,10,3,"sánchez",4937
"220",2020,10,3,"realdonaldtrump",3955
"221",2020,10,4,"trump",19678
"222",2020,10,4,"covid",9184
"223",2020,10,4,"mohamed vi",6038
"224",2020,10,4,"ivanarriola17",5928
"225",2020,10,4,"donald trump",4978
"226",2020,10,5,"trump",16293
"227",2020,10,5,"pedro sánchez",11734
"228",2020,10,5,"covid",6954
"229",2020,10,5,"sánchez",5105
"230",2020,10,5,"nicolasmaduro",4920
"231",2020,10,6,"trump",24975
"232",2020,10,6,"covid",8336
"233",2020,10,6,"minacapellirena",6163
"234",2020,10,6,"donald trump",4273
"235",2020,10,6,"sánchez",2515
"236",2020,10,7,"trump",12231
"237",2020,10,7,"covid",9855
"238",2020,10,7,"mañalich",4949
"239",2020,10,7,"donald trump",3009
"240",2020,10,7,"manustinson1",2967
"241",2020,10,8,"trump",10721
"242",2020,10,8,"covid",6609
"243",2020,10,8,"ayuso",4000
"244",2020,10,8,"donald trump",3740
"245",2020,10,8,"sánchez",3059
"246",2020,10,9,"sánchez",7478
"247",2020,10,9,"trump",7305
"248",2020,10,9,"covid",6569
"249",2020,10,9,"abascal",6324
"250",2020,10,9,"santi",5777
"251",2020,10,11,"covid",8827
"252",2020,10,11,"trump",8064
"253",2020,10,11,"illa",6840
"254",2020,10,11,"nicolasmaduro",5586
"255",2020,10,11,"hugo arana",4231
"256",2020,10,12,"heyitsjanetha",8536
"257",2020,10,12,"nicolasmaduro",7678
"258",2020,10,12,"trump",7121
"259",2020,10,12,"covid",5942
"260",2020,10,12,"monsemarinph",4529
"261",2020,10,13,"cristiano ronaldo",19609
"262",2020,10,13,"covid",8446
"263",2020,10,13,"cristiano",7502
"264",2020,10,13,"trump",6999
"265",2020,10,13,"lillytellez",4472
"266",2020,10,14,"covid",9577
"267",2020,10,14,"bascuñán",7861
"268",2020,10,14,"lopezobrador",5977
"269",2020,10,14,"lillytellez",4913
"270",2020,10,14,"gatell",4704
"271",2020,10,15,"covid",10227
"272",2020,10,15,"lopezobrador",8495
"273",2020,10,15,"lillytellez",7727
"274",2020,10,15,"gatell",7487
"275",2020,10,15,"l",6961
"276",2020,10,16,"covid",18358
"277",2020,10,16,"julietalozan0",10632
"278",2020,10,16,"ayuso",4065
"279",2020,10,16,"nicolasmaduro",3770
"280",2020,10,16,"luciananoelia",3508
"281",2020,10,17,"covid",11728
"282",2020,10,17,"joshuape16",3874
"283",2020,10,17,"cristiano ronaldo",3609
"284",2020,10,17,"duarteviki",2690
"285",2020,10,17,"kerlssss",2574
"286",2020,10,18,"covid",10530
